Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
26,Ugo Humbert [FRA],7,4-Mar,42.90%,61.80%,60.70%,60,10.80%,29,5.20%,12.10%,56.90%,72.20%,48.10%,54.80%,76.50%,6.5,2.5
28,Alejandro Davidovich Fokina [ESP],5,3-Feb,40.00%,65.70%,65.50%,22,4.10%,10,1.90%,5.90%,68.30%,67.50%,61.80%,65.60%,83.80%,6.7,2.3
16,Ben Shelton [USA],5,3-Feb,40.00%,69.10%,68.00%,75,13.90%,27,5.00%,14.30%,65.00%,78.30%,51.90%,60.50%,88.60%,6.1,1.9
46,Lorenzo Sonego [ITA],6,4-Feb,33.30%,68.10%,65.80%,52,10.90%,10,2.10%,7.40%,71.70%,74.60%,51.90%,56.00%,87.20%,6.1,1.9
39,Alexei Popyrin [AUS],6,4-Feb,33.30%,67.10%,63.80%,68,13.20%,12,2.30%,5.70%,58.90%,77.60%,52.10%,55.30%,81.40%,6,2
40,Andy Murray [GBR],3,2-Jan,33.30%,68.90%,67.40%,20,6.70%,3,1.00%,2.50%,59.90%,76.00%,58.30%,59.80%,90.00%,6,1.9
29,Sebastian Baez [ARG],3,2-Jan,33.30%,63.60%,64.90%,6,2.10%,9,3.20%,12.30%,73.90%,68.10%,50.70%,57.80%,87.80%,6.8,2.5
31,Tomas Martin Etcheverry [ARG],3,2-Jan,33.30%,62.20%,61.20%,21,5.50%,7,1.80%,5.60%,67.20%,69.10%,48.00%,50.80%,80.00%,6.9,2.6
38,Borna Coric [CRO],3,0-3,0.00%,61.30%,59.80%,22,9.20%,9,3.80%,10.80%,65.40%,73.90%,37.30%,41.90%,73.20%,5.9,2.3
37,Daniel Evans [GBR],2,0-2,0.00%,66.10%,68.20%,14,7.80%,12,6.70%,14.00%,52.20%,71.30%,60.50%,70.30%,80.60%,5.8,2
43,Max Purcell [AUS],3,0-3,0.00%,58.50%,55.10%,18,9.60%,3,1.60%,4.20%,62.20%,64.10%,49.30%,51.50%,66.70%,5.7,2.4
48,Dusan Lajovic [SRB],1,0-1,0.00%,57.70%,57.70%,7,5.70%,5,4.10%,11.60%,65.00%,62.50%,48.80%,55.30%,61.90%,5.9,2.5
19,Felix Auger Aliassime [CAN],1,0-1,0.00%,68.90%,69.00%,17,11.30%,8,5.30%,13.30%,60.30%,80.20%,51.70%,59.60%,87.50%,6.3,2
44,Sebastian Ofner [AUT],1,0-1,0.00%,63.40%,65.50%,7,6.90%,7,6.90%,18.90%,63.40%,71.90%,48.60%,60.00%,80.00%,6.7,2.5
49,Yoshihito Nishioka [JPN],1,0-1,0.00%,54.50%,55.70%,3,3.90%,4,5.20%,17.40%,70.10%,63.00%,34.80%,42.10%,57.10%,5.5,2.5
