,name,country_name,clay_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
115,Francisco Cerundolo,Argentina,60.00%,3.10%,61.40%,4.40%,67.30%,49.70%,77.00%,6.7
116,Matteo Arnaldi,Italy,60.00%,5.40%,61.80%,3.40%,67.20%,54.50%,80.00%,6.8
117,Matteo Arnaldi,Italy,60.00%,5.40%,61.80%,3.40%,67.20%,54.50%,80.00%,6.8
118,Yannick Hanfmann,Germany,60.00%,5.40%,63.60%,2.10%,68.20%,54.10%,80.00%,6.4
119,Yannick Hanfmann,Germany,60.00%,5.40%,63.60%,2.10%,68.20%,54.10%,80.00%,6.4
120,Laslo Djere,Serbia,59.26%,6.20%,64.60%,3.90%,71.50%,54.40%,83.60%,6.5
121,Laslo Djere,Serbia,59.26%,6.20%,64.60%,3.90%,71.50%,54.40%,83.60%,6.5
122,Lorenzo Musetti,Italy,59.26%,3.70%,62.40%,2.40%,68.30%,52.10%,77.20%,6.1
123,Lorenzo Musetti,Italy,59.26%,3.70%,62.40%,2.40%,68.30%,52.10%,77.20%,6.1
124,Lorenzo Sonego,Italy,56.25%,4.80%,64.50%,2.70%,71.30%,51.20%,81.10%,6.3
125,Lorenzo Sonego,Italy,56.25%,4.80%,64.50%,2.70%,71.30%,51.20%,81.10%,6.3
126,Dusan Lajovic,Serbia,55.56%,3.50%,61.30%,1.80%,67.50%,48.70%,75.90%,6.5
127,Dusan Lajovic,Serbia,55.56%,3.50%,61.30%,1.80%,67.50%,48.70%,75.90%,6.5
128,Alejandro Davidovich Fokina,Spain,52.94%,2.30%,61.10%,1.90%,66.10%,50.00%,77.90%,6.9
129,Alejandro Davidovich Fokina,Spain,52.94%,2.30%,61.10%,1.90%,66.10%,50.00%,77.90%,6.9
130,Hubert Hurkacz,Poland,50.00%,11.80%,65.40%,3.40%,79.00%,47.30%,82.00%,6.4
131,Hubert Hurkacz,Poland,50.00%,11.80%,65.40%,3.40%,79.00%,47.30%,82.00%,6.4
132,Jiri Lehecka,Czech Republic,50.00%,3.70%,60.60%,2.80%,67.50%,47.60%,71.20%,6.2
133,Jiri Lehecka,Czech Republic,50.00%,3.70%,60.60%,2.80%,67.50%,47.60%,71.20%,6.2
134,Sebastian Ofner,Austria,50.00%,5.90%,61.30%,4.50%,71.90%,48.30%,74.20%,6.4
135,Sebastian Ofner,Austria,50.00%,5.90%,61.30%,4.50%,71.90%,48.30%,74.20%,6.4
136,Daniel Evans,United Kingdom,45.45%,3.80%,61.20%,3.70%,66.70%,52.10%,76.80%,6.5
137,Daniel Evans,United Kingdom,45.45%,3.80%,61.20%,3.70%,66.70%,52.10%,76.80%,6.5
