Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
28,Alejandro Davidovich Fokina [ESP],17,8-Sep,52.90%,61.10%,61.40%,34,2.30%,28,1.90%,6.20%,68.90%,66.10%,50.00%,53.30%,77.90%,6.9,2.7
11,Hubert Hurkacz [POL],10,5-May,50.00%,65.40%,63.20%,134,11.80%,38,3.40%,7.80%,57.10%,79.00%,47.30%,51.30%,82.00%,6.4,2.2
13,Alex De Minaur [AUS],9,5-Apr,44.40%,62.20%,63.90%,11,1.80%,23,3.70%,8.40%,55.70%,69.70%,52.70%,57.60%,75.50%,6.3,2.4
37,Daniel Evans [GBR],12,7-May,41.70%,61.20%,62.00%,31,3.80%,30,3.70%,9.80%,62.10%,66.70%,52.10%,57.80%,76.80%,6.5,2.5
43,Max Purcell [AUS],5,3-Feb,40.00%,60.60%,59.40%,30,5.80%,10,1.90%,5.00%,61.50%,67.20%,50.00%,52.60%,74.40%,6.7,2.6
33,Alexander Bublik [KAZ],13,8-May,38.50%,62.00%,64.30%,88,11.30%,77,9.90%,23.80%,58.50%,73.60%,45.50%,59.80%,76.00%,6.4,2.4
23,Tallon Griekspoor [NED],8,5-Mar,37.50%,62.90%,64.50%,42,5.40%,43,5.50%,14.40%,61.50%,73.40%,46.20%,53.90%,76.50%,6.5,2.4
26,Ugo Humbert [FRA],8,5-Mar,37.50%,62.80%,63.80%,33,4.60%,30,4.20%,10.30%,59.20%,72.60%,48.60%,54.20%,81.70%,6.6,2.4
32,Christopher Eubanks [USA],3,2-Jan,33.30%,63.10%,62.80%,22,9.40%,12,5.20%,15.80%,67.40%,72.60%,43.40%,51.60%,74.40%,6,2.2
12,Tommy Paul [USA],7,5-Feb,28.60%,60.60%,60.50%,30,4.80%,19,3.00%,8.40%,64.10%,65.00%,52.70%,57.50%,74.20%,6.8,2.7
19,Felix Auger Aliassime [CAN],4,3-Jan,25.00%,60.60%,63.40%,28,7.90%,32,9.00%,22.70%,60.30%,73.40%,41.10%,53.20%,75.00%,6.3,2.5
24,Sebastian Korda [USA],4,3-Jan,25.00%,57.00%,56.50%,19,5.00%,11,2.90%,7.60%,61.80%,63.10%,47.20%,51.10%,68.50%,7,3
16,Ben Shelton [USA],9,7-Feb,22.20%,60.20%,60.20%,71,9.40%,47,6.20%,15.80%,60.70%,70.90%,43.60%,51.80%,73.30%,6.5,2.6
25,Adrian Mannarino [FRA],6,5-Jan,16.70%,53.20%,53.60%,12,2.80%,14,3.30%,7.50%,56.00%,63.40%,40.10%,43.40%,54.80%,6.9,3.2
40,Andy Murray [GBR],3,0-3,0.00%,55.40%,54.90%,5,2.30%,2,0.90%,2.30%,59.60%,63.00%,44.20%,45.20%,63.60%,6.5,2.9
42,Mackenzie Mcdonald [USA],5,0-5,0.00%,57.70%,58.00%,16,3.60%,14,3.20%,10.30%,69.20%,65.70%,39.70%,44.30%,65.20%,6.7,2.8
