rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,90.91%
2,Rafael Nadal,Spain,ESP,80.00%
3,Nick Kyrgios,Australia,AUS,79.31%
4,Carlos Alcaraz Garfia,Spain,ESP,77.14%
5,Felix Auger Aliassime,Canada,CAN,74.58%
6,Andrey Rublev,Russian Federation,RUS,74.00%
7,Jannik Sinner,Italy,ITA,72.22%
8,Daniil Medvedev,Russian Federation,RUS,70.83%
9,Alexander Zverev,Germany,GER,70.59%
10,Holger Vitus Nodskov Rune,Denmark,DEN,69.44%
11,Gael Monfils,France,FRA,68.42%
12,Borna Coric,Croatia,CRO,68.00%
13,Taylor Harry Fritz,United States,USA,67.39%
14,Stefanos Tsitsipas,Greece,GRE,67.35%
15,Reilly Opelka,United States,USA,66.67%
16,Cameron Norrie,United Kingdom,GBR,65.31%
17,Alex De Minaur,Australia,AUS,65.12%
18,Pablo Carreno Busta,Spain,ESP,64.86%
19,Casper Ruud,Norway,NOR,64.71%
20,Hubert Hurkacz,Poland,POL,64.29%
20,Matteo Berrettini,Italy,ITA,64.29%
22,Constant Lestienne,France,FRA,63.64%
22,Elias Ymer,Sweden,SWE,63.64%
24,Roberto Bautista Agut,Spain,ESP,63.41%
25,Sebastian Korda,United States,USA,63.16%
26,Tommy Paul,United States,USA,63.04%
27,Denis Shapovalov,Canada,CAN,61.70%
28,Dominic Thiem,Austria,AUT,61.11%
29,Frances Tiafoe,United States,USA,60.53%
29,Miomir Kecmanovic,Serbia,SRB,60.53%
31,Daniel Evans,United Kingdom,GBR,59.52%
32,Karen Khachanov,Russian Federation,RUS,58.97%
33,Arthur Rinderknech,France,FRA,58.82%
33,Mikael Ymer,Sweden,SWE,58.82%
35,Daniel Elahi Galan Riveros,Colombia,COL,58.33%
36,Jack Draper,United Kingdom,GBR,57.89%
37,Richard Gasquet,France,FRA,57.69%
38,Jenson Brooksby,United States,USA,57.58%
38,Yoshihito Nishioka,Japan,JPN,57.58%
40,Corentin Moutet,France,FRA,57.14%
40,Kamil Majchrzak,Poland,POL,57.14%
40,Marin Cilic,Croatia,CRO,57.14%
40,Radu Albot,"Moldova, Republic of",MDA,57.14%
40,Roman Safiullin,Russian Federation,RUS,57.14%
45,Brandon Nakashima,United States,USA,56.76%
45,Emil Ruusuvuori,Finland,FIN,56.76%
47,Marc Andrea Huesler,Switzerland,SUI,56.25%
48,Alexander Bublik,Kazakhstan,KAZ,55.56%
49,Aleksandar Vukic,Australia,AUS,54.55%
50,Ilya Ivashka,Belarus,BLR,54.17%
