Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
39,Alexei Popyrin [AUS],28,14-14,50.00%,66.10%,64.00%,344,13.00%,105,4.00%,10.50%,62.50%,76.80%,48.40%,54.10%,84.10%,6.5,2.2
29,Sebastian Baez [ARG],20,10-Oct,50.00%,60.50%,60.20%,54,3.50%,27,1.80%,6.90%,74.20%,65.10%,47.30%,50.80%,75.90%,6.4,2.5
21,Francisco Cerundolo [ARG],22,11-Nov,50.00%,61.10%,61.90%,80,4.30%,72,3.90%,11.40%,65.50%,68.20%,47.60%,53.70%,76.50%,6.5,2.5
18,Cameron Norrie [GBR],30,15-15,50.00%,64.40%,63.90%,156,6.80%,67,2.90%,8.40%,65.30%,70.70%,52.60%,57.40%,80.30%,6.2,2.2
44,Sebastian Ofner [AUT],16,8-Aug,50.00%,63.00%,61.10%,119,10.10%,39,3.30%,8.10%,59.30%,73.10%,48.30%,52.60%,77.30%,6.5,2.4
45,Roman Safiullin [RUS],29,14-15,48.30%,64.50%,64.80%,163,7.20%,99,4.40%,11.60%,62.30%,71.90%,52.40%,59.30%,82.10%,6.4,2.3
49,Yoshihito Nishioka [JPN],29,14-15,48.30%,62.10%,62.70%,56,2.40%,53,2.30%,6.10%,62.00%,66.20%,55.40%,59.00%,76.10%,6.5,2.5
31,Tomas Martin Etcheverry [ARG],22,12-Oct,45.50%,64.30%,62.60%,137,7.70%,33,1.80%,5.20%,64.70%,70.00%,53.90%,56.90%,81.10%,6.3,2.2
48,Dusan Lajovic [SRB],22,12-Oct,45.50%,64.60%,63.90%,62,4.70%,21,1.60%,5.40%,70.80%,69.80%,51.80%,54.80%,80.20%,6.1,2.2
47,Yannick Hanfmann [GER],18,10-Aug,44.40%,62.90%,61.50%,113,7.40%,38,2.50%,7.10%,65.20%,68.60%,52.20%,56.20%,79.70%,6.7,2.5
37,Daniel Evans [GBR],30,13-17,43.30%,63.70%,64.10%,122,6.10%,79,3.90%,9.30%,58.10%,73.00%,50.90%,56.10%,78.20%,6.2,2.2
22,Lorenzo Musetti [ITA],27,16-Nov,40.70%,63.90%,63.60%,108,6.60%,53,3.20%,8.10%,60.00%,72.20%,51.50%,56.10%,78.50%,6.3,2.3
33,Alexander Bublik [KAZ],24,16-Aug,33.30%,63.90%,65.90%,230,13.20%,171,9.80%,23.80%,58.70%,78.80%,42.90%,56.30%,79.30%,6.3,2.3
