rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,100.00%
2,Matteo Berrettini,Italy,ITA,91.67%
3,Kevin Anderson,South Africa,RSA,85.71%
4,Marin Cilic,Croatia,CRO,81.82%
5,Jenson Brooksby,United States,USA,80.00%
5,Ugo Humbert,France,FRA,80.00%
7,Andrey Rublev,Russian Federation,RUS,77.78%
7,Daniil Medvedev,Russian Federation,RUS,77.78%
9,Felix Auger Aliassime,Canada,CAN,76.92%
10,Cameron Norrie,United Kingdom,GBR,75.00%
11,Alex De Minaur,Australia,AUS,72.73%
11,Denis Shapovalov,Canada,CAN,72.73%
13,Roger Federer,Switzerland,SUI,71.43%
13,Sebastian Korda,United States,USA,71.43%
15,Alexander Zverev,Germany,GER,66.67%
15,Daniel Evans,United Kingdom,GBR,66.67%
15,Lorenzo Sonego,Italy,ITA,66.67%
18,Jordan Thompson,Australia,AUS,64.29%
19,Alexander Bublik,Kazakhstan,KAZ,63.64%
20,Hubert Hurkacz,Poland,POL,62.50%
20,Karen Khachanov,Russian Federation,RUS,62.50%
20,Marton Fucsovics,Hungary,HUN,62.50%
23,Andreas Seppi,Italy,ITA,60.00%
23,Andy Murray,United Kingdom,GBR,60.00%
23,Denis Kudla,United States,USA,60.00%
23,Fabio Fognini,Italy,ITA,60.00%
23,Marcos Giron,United States,USA,60.00%
23,Peter Gojowczyk,Germany,GER,60.00%
23,Soon Woo Kwon,"Korea, Republic of",KOR,60.00%
30,Sam Querrey,United States,USA,58.33%
31,Frances Tiafoe,United States,USA,57.14%
31,Nikoloz Basilashvili,Georgia,GEO,57.14%
31,Roberto Bautista Agut,Spain,ESP,57.14%
34,Ilya Ivashka,Belarus,BLR,55.56%
35,Adrian Mannarino,France,FRA,50.00%
35,Feliciano Lopez,Spain,ESP,50.00%
35,James Duckworth,Australia,AUS,50.00%
35,Jurij Rodionov,Austria,AUT,50.00%
35,Lloyd George Muirhead Harris,South Africa,RSA,50.00%
35,Tennys Sandgren,United States,USA,50.00%
41,Vasek Pospisil,Canada,CAN,42.86%
42,Aljaz Bedene,Slovenia,SLO,40.00%
42,Corentin Moutet,France,FRA,40.00%
42,Dominik Koepfer,Germany,GER,40.00%
42,John Millman,Australia,AUS,40.00%
42,Liam Broady,United Kingdom,GBR,40.00%
47,Alexei Popyrin,Australia,AUS,20.00%
