rank,name,country_name,country_id,value
1,Matteo Berrettini,Italy,ITA,100.00%
1,Novak Djokovic,Serbia,SRB,100.00%
1,Rafael Nadal,Spain,ESP,100.00%
4,Nick Kyrgios,Australia,AUS,80.00%
4,Tim Van Rijthoven,Netherlands,NED,80.00%
6,Jason Kubler,Australia,AUS,75.00%
6,Roberto Bautista Agut,Spain,ESP,75.00%
8,Daniil Medvedev,Russian Federation,RUS,72.73%
8,Stefanos Tsitsipas,Greece,GRE,72.73%
8,Taylor Harry Fritz,United States,USA,72.73%
11,Filip Krajinovic,Serbia,SRB,71.43%
11,Hubert Hurkacz,Poland,POL,71.43%
13,Andy Murray,United Kingdom,GBR,70.00%
13,Oscar Otte,Germany,GER,70.00%
15,Maxime Cressy,United States,USA,69.23%
16,Benjamin Bonzi,France,FRA,66.67%
16,Brandon Nakashima,United States,USA,66.67%
16,Cameron Norrie,United Kingdom,GBR,66.67%
16,David Goffin,Belgium,BEL,66.67%
16,Jannik Sinner,Italy,ITA,66.67%
16,John Isner,United States,USA,66.67%
16,Karen Khachanov,Russian Federation,RUS,66.67%
23,Alexander Bublik,Kazakhstan,KAZ,64.29%
24,Alex De Minaur,Australia,AUS,63.64%
24,Tommy Paul,United States,USA,63.64%
26,Jack Draper,United Kingdom,GBR,62.50%
26,Ryan Peniston,United Kingdom,GBR,62.50%
28,Botic Van De Zandschulp,Netherlands,NED,60.00%
28,Hugo Gaston,France,FRA,60.00%
28,Jack Sock,United States,USA,60.00%
28,Steve Johnson,United States,USA,60.00%
32,Christian Garin,Chile,CHI,57.14%
32,Ilya Ivashka,Belarus,BLR,57.14%
32,Nikoloz Basilashvili,Georgia,GEO,57.14%
35,Lorenzo Sonego,Italy,ITA,55.56%
35,Tallon Griekspoor,Netherlands,NED,55.56%
37,Adrian Mannarino,France,FRA,50.00%
37,Alejandro Davidovich Fokina,Spain,ESP,50.00%
37,Alex Molcan,Slovakia,SVK,50.00%
37,Emil Ruusuvuori,Finland,FIN,50.00%
37,Felix Auger Aliassime,Canada,CAN,50.00%
37,Frances Tiafoe,United States,USA,50.00%
43,Jenson Brooksby,United States,USA,42.86%
43,Mackenzie Mcdonald,United States,USA,42.86%
43,Marcos Giron,United States,USA,42.86%
46,Liam Broady,United Kingdom,GBR,40.00%
46,Marton Fucsovics,Hungary,HUN,40.00%
46,Miomir Kecmanovic,Serbia,SRB,40.00%
46,Pablo Carreno Busta,Spain,ESP,40.00%
46,Quentin Halys,France,FRA,40.00%
