Player,Matches,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,FHP/100,BHP/Match,BHP/100
Yoshihito Nishioka,8,4.3,4.8,3.7,43.80%,47.80%,51.00%,48.80%,55.20%,8.50%,1.7,1.2,3.7,3.4
Miomir Kecmanovic,8,4.3,4.9,3.5,42.10%,45.20%,46.90%,45.40%,49.20%,19.00%,4.4,4.4,1.1,1.3
Christopher Eubanks,7,2.7,2.7,2.7,49.00%,48.20%,46.90%,63.20%,59.10%,47.30%,3,3.6,0.1,0.2
Brandon Nakashima,7,4.2,4.3,4.2,49.60%,51.50%,46.60%,56.30%,56.30%,22.40%,11.1,6.1,0.6,0.6
Denis Shapovalov,7,4,3.5,4.3,48.50%,52.20%,43.80%,52.70%,57.20%,14.50%,9,6.6,-1.5,-1.6
Arthur Fils,7,3.8,3.9,3.7,51.10%,49.60%,56.10%,38.20%,49.60%,11.50%,8.2,6.8,-0.1,-0.1
Marcos Giron,6,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,6.3,-0.5,-0.5
Jack Draper,6,4.5,4.3,4.7,51.50%,48.80%,47.80%,45.60%,49.20%,8.30%,3.9,2.4,3.7,2.3
Christopher Oconnell,6,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,3.5,0.1,0.2
Rafael Nadal,6,4.1,4.1,4,46.30%,48.70%,63.20%,50.00%,60.60%,26.10%,12.8,8.1,-1.8,-2.4
Diego Schwartzman,6,4.7,5,4.4,43.30%,60.40%,51.30%,48.10%,47.80%,20.20%,3.4,2.9,0.2,0.1
Alexander Shevchenko,6,4.3,4.6,4,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,1.5,0,0
Bernabe Zapata Miralles,6,4.8,5.1,4.4,46.20%,51.50%,50.90%,47.00%,50.40%,12.00%,7.5,5,3.6,2.6
Benjamin Bonzi,5,3.7,4,3.4,49.50%,48.10%,60.30%,59.00%,49.30%,13.30%,4.3,5,4.8,5
Daniel Evans,5,4.8,4.6,5.1,48.00%,52.20%,56.80%,46.40%,42.70%,72.70%,8.3,8.3,-0.7,-1.8
Roberto Carballes Baena,5,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,6,1,0.7
Gijs Brouwer,5,3.6,3.7,3.4,47.70%,46.60%,61.20%,64.90%,58.20%,47.20%,10,11.2,-1.3,-4
Marton Fucsovics,5,4.9,5,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,2.8,-4.5,-4.1
Yibing Wu,5,3.9,4.4,3.3,47.50%,50.30%,56.10%,63.40%,53.80%,12.50%,16.1,11.2,8.3,7.5
Quentin Halys,5,3.1,3.1,3.2,46.70%,44.80%,42.90%,45.80%,50.80%,26.20%,-0.7,-0.8,-0.5,-0.7
Albert Ramos,5,4.2,4.8,3.7,42.60%,41.60%,44.80%,50.00%,57.00%,19.50%,6.4,5.2,-4.3,-5.4
Zhizhen Zhang,5,4,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,3.9,1.3,0.9
Juan Pablo Varillas,5,4.8,5.1,4.4,49.40%,43.80%,55.60%,46.20%,55.50%,9.50%,11.2,5.2,-4.2,-2.6
Alex Molcan,5,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,3.7,-1.3,-0.8
Dusan Lajovic,5,4.6,4.7,4.4,47.30%,48.30%,47.70%,47.30%,55.30%,19.50%,9.2,5.8,-1.7,-1.6
Marc Andrea Huesler,5,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,1.6,-4.6,-4.5
Alexandre Muller,5,4.1,4.5,3.8,47.70%,39.20%,42.10%,37.20%,44.50%,11.00%,-4.8,-4.6,-5.1,-3.8
Lorenzo Sonego,5,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,2.5,-5.2,-8.8
Mackenzie Mcdonald,5,3.8,4,3.5,50.20%,49.80%,45.80%,48.70%,54.40%,12.90%,13.8,8.6,-2.1,-1.8
