,name,country_name,clay_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
0,Carlos Alcaraz,Spain,100.00%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
1,Novak Djokovic,Serbia,85.71%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
2,Alexander Bublik,Kazakhstan,81.82%,3.1,2.7,3.5,50.60%,49.50%,48.10%,40.00%,50.40%,21.10%,2.2,1.6
3,Andrey Rublev,Russian Federation,80.00%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
4,Frances Tiafoe,United States,77.78%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
5,Holger Rune,Denmark,77.78%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
6,Tallon Griekspoor,Netherlands,77.78%,3.6,3.4,3.8,49.80%,47.80%,47.20%,50.40%,51.80%,26.10%,8.6,-1.2
7,Adrian Mannarino,France,75.00%,4.6,5.1,4.1,48.70%,51.50%,52.70%,58.10%,56.00%,9.10%,3.8,6.6
8,Christopher Eubanks,United States,75.00%,2.7,2.7,2.7,49.00%,48.20%,46.90%,63.20%,59.10%,47.30%,3.0,0.1
9,Francisco Cerundolo,Argentina,75.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
10,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
11,Alexander Zverev,Germany,71.43%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
12,Grigor Dimitrov,Bulgaria,71.43%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
13,Jan Lennard Struff,Germany,71.43%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
14,Marton Fucsovics,Hungary,71.43%,4.9,5.0,4.8,46.90%,44.80%,45.80%,50.40%,53.90%,39.70%,5.5,-4.5
15,Daniil Medvedev,Russian Federation,70.00%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
16,Alex De Minaur,Australia,66.67%,5.2,5.3,5.1,51.00%,48.60%,48.50%,51.60%,45.40%,13.90%,4.5,0.2
17,Hubert Hurkacz,Poland,66.67%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
18,Lorenzo Musetti,Italy,66.67%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
19,Jiri Lehecka,Czech Republic,62.50%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
20,Cameron Norrie,United Kingdom,60.00%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
21,Matteo Berrettini,Italy,60.00%,3.5,3.0,3.8,51.20%,44.90%,44.30%,58.90%,51.20%,45.30%,1.9,-1.5
22,Roberto Bautista Agut,Spain,60.00%,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,-0.1
23,Sebastian Korda,United States,60.00%,4.1,4.1,4.2,49.40%,48.40%,54.40%,52.60%,47.70%,17.90%,8.0,0.6
24,Tommy Paul,United States,58.33%,4.1,4.0,4.1,48.50%,49.90%,50.50%,55.20%,51.70%,12.70%,6.8,2.6
25,Christopher Oconnell,Australia,57.14%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
26,Denis Shapovalov,Canada,57.14%,4.0,3.5,4.3,48.50%,52.20%,43.80%,52.70%,57.20%,14.50%,9.0,-1.5
27,Laslo Djere,Serbia,57.14%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
28,Nicolas Jarry,Chile,57.14%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
29,Mackenzie Mcdonald,United States,54.55%,3.8,4.0,3.5,50.20%,49.80%,45.80%,48.70%,54.40%,12.90%,13.8,-2.1
30,Stefanos Tsitsipas,Greece,50.00%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
31,Emil Ruusuvuori,Finland,42.86%,4.1,4.4,3.9,45.40%,53.00%,54.30%,48.40%,52.20%,7.40%,1.7,-1.3
32,Taylor Fritz,United States,42.86%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
33,Alejandro Davidovich Fokina,Spain,40.00%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
34,Aslan Karatsev,Russian Federation,40.00%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
35,Ben Shelton,United States,40.00%,3.6,3.4,3.8,51.10%,47.30%,42.90%,50.00%,52.50%,22.00%,6.9,-2.9
36,Marc Andrea Huesler,Switzerland,40.00%,3.6,3.5,3.8,48.00%,45.80%,34.30%,41.00%,55.60%,18.00%,2.4,-4.6
